sensor_id,timestamp,temperature_c,humidity_pct,pressure_hpa
sensor-004,1700000330,23.37,57.2,1014.5
sensor-005,1700000330,23.49,53.3,1016.3
sensor-006,1700000330,20.26,46.2,1011.0
sensor-007,1700000330,24.35,48.8,1013.0
sensor-000,1700000345,24.48,57.1,1015.5
sensor-001,1700000345,22.21,40.3,1011.4
sensor-002,1700000345,20.42,52.5,1012.9
sensor-003,1700000345,21.88,48.2,1010.7
sensor-004,1700000345,23.46,57.3,1016.7
sensor-005,1700000345,23.53,53.3,1011.4
sensor-006,1700000345,20.18,46.3,1014.5
sensor-007,1700000345,24.29,48.8,1009.0
sensor-000,1700000360,24.52,57.2,1013.1
sensor-001,1700000360,22.11,40.2,1015.6
sensor-002,1700000360,20.49,52.5,1012.5
sensor-003,1700000360,21.82,48.0,1015.8
sensor-004,1700000360,23.54,57.3,1015.4
sensor-005,1700000360,23.45,53.4,1016.7
sensor-006,1700000360,20.27,46.1,1014.3
sensor-007,1700000360,24.37,48.5,1015.6
sensor-000,1700000375,24.42,57.3,1011.2
sensor-001,1700000375,22.10,40.3,1012.5
sensor-002,1700000375,20.57,52.6,1010.4
sensor-003,1700000375,21.73,48.3,1011.6
sensor-004,1700000375,23.58,57.6,1011.3
sensor-005,1700000375,23.47,53.2,1016.8
sensor-006,1700000375,20.26,46.2,1011.7
sensor-007,1700000375,24.29,48.3,1014.6
sensor-000,1700000390,24.44,57.1,1009.9
sensor-001,1700000390,22.06,40.1,1010.0
sensor-002,1700000390,20.66,52.3,1009.3
sensor-003,1700000390,21.77,48.5,1016.5
sensor-004,1700000390,23.60,57.3,1016.5
sensor-005,1700000390,23.52,53.4,1012.8
sensor-006,1700000390,20.30,46.1,1014.0
sensor-007,1700000390,24.36,48.4,1010.4
sensor-000,1700000405,24.47,57.3,1010.7
sensor-001,1700000405,22.10,40.1,1014.7
sensor-002,1700000405,20.58,52.4,1009.5
sensor-003,1700000405,21.85,48.6,1016.1
sensor-004,1700000405,23.59,57.5,1010.4
sensor-005,1700000405,23.57,53.3,1009.2
sensor-006,1700000405,20.36,45.8,1013.5
sensor-007,1700000405,24.38,48.3,1012.5
sensor-000,1700000420,24.55,57.5,1015.2
sensor-001,1700000420,22.01,40.1,1014.0
sensor-002,1700000420,20.65,52.6,1011.5
sensor-003,1700000420,21.91,48.9,1014.2
sensor-004,1700000420,23.65,57.7,1009.9
sensor-005,1700000420,23.65,53.4,1016.5
sensor-006,1700000420,20.38,45.7,1014.5
sensor-007,1700000420,24.30,48.3,1015.3
sensor-000,1700000435,24.52,57.4,1012.0
sensor-001,1700000435,22.08,40.3,1010.4
sensor-002,1700000435,20.73,52.6,1016.9
sensor-003,1700000435,21.82,49.0,1015.1
sensor-004,1700000435,23.58,57.7,1010.9
sensor-005,1700000435,23.68,53.7,1013.1
sensor-006,1700000435,20.36,45.9,1014.9
sensor-007,1700000435,24.24,48.1,1015.5
sensor-000,1700000450,24.53,57.2,1011.1
sensor-001,1700000450,22.16,40.1,1011.4
sensor-002,1700000450,20.71,52.6,1014.1
sensor-003,1700000450,21.79,48.7,1010.2
sensor-004,1700000450,23.49,57.7,1015.4
sensor-005,1700000450,23.73,53.8,1014.9
sensor-006,1700000450,20.32,46.0,1014.7
sensor-007,1700000450,24.29,47.8,1012.9
sensor-000,1700000465,24.59,57.3,1013.2
sensor-001,1700000465,22.17,40.1,1015.0
sensor-002,1700000465,20.76,52.8,1014.1
sensor-003,1700000465,21.84,48.6,1012.3
sensor-004,1700000465,23.42,57.9,1011.5
sensor-005,1700000465,23.68,54.0,1012.3
sensor-006,1700000465,20.34,46.1,1012.1
sensor-007,1700000465,24.31,47.9,1014.1
sensor-000,1700000480,24.56,57.5,1011.5
sensor-001,1700000480,22.07,40.1,1016.5
sensor-002,1700000480,20.72,52.6,1014.8
sensor-003,1700000480,21.92,48.9,1013.8
sensor-004,1700000480,23.49,57.7,1010.5
sensor-005,1700000480,23.73,53.9,1009.0
sensor-006,1700000480,20.30,46.0,1012.9
sensor-007,1700000480,24.21,47.7,1014.1
sensor-000,1700000495,24.61,57.7,1014.6
sensor-001,1700000495,22.07,39.9,1009.6
sensor-002,1700000495,20.78,52.9,1011.9
sensor-003,1700000495,21.82,48.9,1013.6
sensor-004,1700000495,23.56,57.5,1012.4
sensor-005,1700000495,23.69,54.1,1014.1
sensor-006,1700000495,20.40,46.2,1015.7
sensor-007,1700000495,24.19,47.6,1016.3
sensor-000,1700000510,24.69,57.4,1014.9
sensor-001,1700000510,21.97,40.0,1015.6
sensor-002,1700000510,20.80,53.1,1015.0
sensor-003,1700000510,21.86,48.8,1014.7
sensor-004,1700000510,23.49,57.2,1016.4
sensor-005,1700000510,23.77,54.4,1014.4
sensor-006,1700000510,20.43,46.2,1011.7
sensor-007,1700000510,24.18,47.6,1010.7
sensor-000,1700000525,24.66,57.4,1014.8
sensor-001,1700000525,22.03,39.9,1013.2
sensor-002,1700000525,20.78,53.3,1012.8
sensor-003,1700000525,21.91,49.0,1016.6
sensor-004,1700000525,23.43,57.2,1013.0
sensor-005,1700000525,23.74,54.5,1013.9
sensor-006,1700000525,20.36,46.4,1016.4
sensor-007,1700000525,24.16,47.8,1016.2
sensor-000,1700000540,24.57,57.7,1012.6
sensor-001,1700000540,22.03,39.6,1013.1
sensor-002,1700000540,20.78,53.5,1012.7
sensor-003,1700000540,21.93,48.7,1011.4
sensor-004,1700000540,23.41,57.1,1016.9
sensor-005,1700000540,23.65,54.2,1009.3
sensor-006,1700000540,20.39,46.2,1015.1
sensor-007,1700000540,24.19,47.7,1011.7
sensor-000,1700000555,24.55,58.0,1011.5
sensor-001,1700000555,22.02,39.7,1012.5
sensor-002,1700000555,20.71,53.3,1009.5
sensor-003,1700000555,21.99,48.8,1011.6
sensor-004,1700000555,23.42,56.9,1014.5
sensor-005,1700000555,23.68,54.3,1011.7
sensor-006,1700000555,20.46,46.0,1016.1
sensor-007,1700000555,24.10,47.4,1013.0
sensor-000,1700000570,24.53,58.0,1012.2
sensor-001,1700000570,22.00,39.9,1013.6
sensor-002,1700000570,20.76,53.3,1010.6
sensor-003,1700000570,21.97,48.8,1014.3
sensor-004,1700000570,23.39,56.7,1013.8
sensor-005,1700000570,23.72,54.2,1012.7
sensor-006,1700000570,20.38,46.2,1010.0
sensor-007,1700000570,24.07,47.2,1010.8
sensor-000,1700000585,24.55,57.8,1009.0
sensor-001,1700000585,22.04,40.1,1009.5
sensor-002,1700000585,20.80,53.5,1014.3
sensor-003,1700000585,22.05,49.0,1011.3
sensor-004,1700000585,23.39,56.7,1010.2
sensor-005,1700000585,23.69,54.5,1009.1
sensor-006,1700000585,20.47,46.2,1016.6
sensor-007,1700000585,24.15,47.0,1013.5
sensor-000,1700000600,24.63,57.8,1009.9
sensor-001,1700000600,22.06,40.2,1010.0
sensor-002,1700000600,20.70,53.5,1012.6
sensor-003,1700000600,21.99,48.8,1010.7
sensor-004,1700000600,23.48,56.9,1009.2
sensor-005,1700000600,23.66,54.2,1014.9
sensor-006,1700000600,20.38,45.9,1016.4
sensor-007,1700000600,24.11,47.2,1015.4
sensor-000,1700000615,24.65,57.8,1013.5
sensor-001,1700000615,22.07,40.3,1016.4
sensor-002,1700000615,20.63,53.7,1012.5
sensor-003,1700000615,21.96,48.9,1009.9
sensor-004,1700000615,23.46,56.6,1013.1
sensor-005,1700000615,23.59,54.2,1012.5
sensor-006,1700000615,20.45,46.0,1016.0
sensor-007,1700000615,24.08,47.4,1009.4
sensor-000,1700000630,24.64,58.1,1015.6
sensor-001,1700000630,22.07,40.1,1013.8
sensor-002,1700000630,20.62,53.7,1015.7
sensor-003,1700000630,22.06,48.8,1009.1
sensor-004,1700000630,23.41,56.7,1014.5
sensor-005,1700000630,23.60,54.1,1012.5
sensor-006,1700000630,20.45,46.0,1010.4
sensor-007,1700000630,24.01,47.4,1010.1
sensor-000,1700000645,24.56,58.3,1009.8
sensor-001,1700000645,22.15,39.9,1013.7
sensor-002,1700000645,20.55,53.8,1012.4
sensor-003,1700000645,22.01,48.6,1014.0
sensor-004,1700000645,23.39,56.7,1014.7
sensor-005,1700000645,23.70,53.9,1014.1
sensor-006,1700000645,20.48,46.1,1009.2
sensor-007,1700000645,23.92,47.2,1009.2
sensor-000,1700000660,24.59,58.1,1011.3
sensor-001,1700000660,22.16,39.6,1013.9
sensor-002,1700000660,20.47,53.7,1016.0
sensor-003,1700000660,21.99,48.6,1009.1
sensor-004,1700000660,23.45,56.6,1009.6
sensor-005,1700000660,23.71,53.8,1016.6
sensor-006,1700000660,20.54,46.2,1010.2
sensor-007,1700000660,23.99,47.5,1012.3
sensor-000,1700000675,24.55,57.8,1012.1
sensor-001,1700000675,22.16,39.9,1012.0
sensor-002,1700000675,20.37,53.9,1010.2
sensor-003,1700000675,22.02,48.9,1010.3
sensor-004,1700000675,23.39,56.4,1010.9
sensor-005,1700000675,23.63,54.0,1013.6
sensor-006,1700000675,20.49,46.1,1014.3
sensor-007,1700000675,23.94,47.3,1010.1
sensor-000,1700000690,24.63,58.0,1016.7
sensor-001,1700000690,22.10,39.9,1016.8
sensor-002,1700000690,20.30,53.7,1014.4
sensor-003,1700000690,22.07,49.1,1009.6
sensor-004,1700000690,23.34,56.2,1016.8
sensor-005,1700000690,23.55,54.2,1009.6
sensor-006,1700000690,20.52,45.8,1012.4
sensor-007,1700000690,23.94,47.3,1009.1
sensor-000,1700000705,24.61,58.1,1013.7
sensor-001,1700000705,22.07,40.2,1015.0
sensor-002,1700000705,20.22,53.4,1010.3
sensor-003,1700000705,22.03,49.2,1012.7
sensor-004,1700000705,23.40,56.2,1014.6
sensor-005,1700000705,23.60,54.4,1016.8
sensor-006,1700000705,20.55,45.8,1015.1
sensor-007,1700000705,23.92,47.5,1010.5
sensor-000,1700000720,24.67,57.9,1016.7
sensor-001,1700000720,22.11,40.1,1016.8
sensor-002,1700000720,20.19,53.4,1010.2
sensor-003,1700000720,22.06,49.4,1014.0
sensor-004,1700000720,23.46,56.5,1010.4
sensor-005,1700000720,23.68,54.1,1009.3
sensor-006,1700000720,20.63,45.7,1013.1
sensor-007,1700000720,23.97,47.6,1013.2
sensor-000,1700000735,24.77,58.0,1010.0
sensor-001,1700000735,22.10,40.2,1012.2
sensor-002,1700000735,20.26,53.2,1013.4
sensor-003,1700000735,22.04,49.6,1015.4
sensor-004,1700000735,23.49,56.8,1015.1
sensor-005,1700000735,23.69,54.3,1010.2
sensor-006,1700000735,20.53,45.4,1009.7
sensor-007,1700000735,24.07,47.8,1013.9
sensor-000,1700000750,24.78,57.9,1016.1
sensor-001,1700000750,22.08,40.2,1014.4
sensor-002,1700000750,20.35,53.3,1014.2
sensor-003,1700000750,21.98,49.5,1016.7
sensor-004,1700000750,23.50,56.9,1013.8
sensor-005,1700000750,23.59,54.6,1010.1
sensor-006,1700000750,20.57,45.1,1012.8
sensor-007,1700000750,24.16,47.8,1015.7
sensor-000,1700000765,24.82,57.9,1015.4
sensor-001,1700000765,22.14,40.3,1014.8
sensor-002,1700000765,20.25,53.5,1012.6
sensor-003,1700000765,21.92,49.5,1013.3
sensor-004,1700000765,23.57,57.2,1013.8
sensor-005,1700000765,23.60,54.7,1014.8
sensor-006,1700000765,20.66,45.4,1016.6
sensor-007,1700000765,24.11,47.7,1010.0
sensor-000,1700000780,24.88,57.7,1011.3
sensor-001,1700000780,22.12,40.2,1015.4
sensor-002,1700000780,20.26,53.5,1016.9
sensor-003,1700000780,21.84,49.3,1012.2
sensor-004,1700000780,23.55,56.9,1014.5
sensor-005,1700000780,23.68,54.9,1009.4
sensor-006,1700000780,20.75,45.6,1014.7
sensor-007,1700000780,24.08,47.6,1016.2
sensor-000,1700000795,24.92,57.7,1010.6
sensor-001,1700000795,22.12,40.2,1014.9
sensor-002,1700000795,20.31,53.2,1012.4
sensor-003,1700000795,21.81,49.5,1015.4
sensor-004,1700000795,23.56,56.6,1016.4
sensor-005,1700000795,23.66,54.7,1016.4
sensor-006,1700000795,20.78,45.3,1009.8
sensor-007,1700000795,24.18,47.9,1014.7
sensor-000,1700000810,24.91,57.8,1015.1
sensor-001,1700000810,22.17,39.9,1009.7
sensor-002,1700000810,20.25,53.4,1016.5
sensor-003,1700000810,21.89,49.3,1014.1
sensor-004,1700000810,23.53,56.9,1012.7
sensor-005,1700000810,23.73,54.7,1015.6
sensor-006,1700000810,20.76,45.1,1012.6
sensor-007,1700000810,24.16,47.9,1015.4
sensor-000,1700000825,24.98,57.9,1011.1
sensor-001,1700000825,22.14,39.7,1011.5
sensor-002,1700000825,20.28,53.3,1015.6
sensor-003,1700000825,21.96,49.3,1016.5
sensor-004,1700000825,23.45,57.2,1012.7
sensor-005,1700000825,23.74,54.6,1011.6
sensor-006,1700000825,20.73,45.1,1012.6
sensor-007,1700000825,24.12,48.0,1015.4
sensor-000,1700000840,25.06,57.9,1012.3
sensor-001,1700000840,22.17,39.7,1010.1
sensor-002,1700000840,20.21,53.4,1009.6
sensor-003,1700000840,22.04,49.4,1009.3
sensor-004,1700000840,23.39,57.5,1010.4
sensor-005,1700000840,23.78,54.6,1012.2
sensor-006,1700000840,20.77,45.3,1013.3
sensor-007,1700000840,24.06,48.3,1009.6
sensor-000,1700000855,25.00,57.9,1014.3
sensor-001,1700000855,22.22,39.7,1014.5
sensor-002,1700000855,20.26,53.2,1012.9
sensor-003,1700000855,22.07,49.3,1009.4
sensor-004,1700000855,23.42,57.6,1015.8
sensor-005,1700000855,23.80,54.7,1012.4
sensor-006,1700000855,20.81,45.0,1014.6
sensor-007,1700000855,23.98,48.2,1012.9
sensor-000,1700000870,25.04,58.0,1016.5
sensor-001,1700000870,22.16,39.7,1010.8
sensor-002,1700000870,20.24,53.0,1015.4
sensor-003,1700000870,22.05,49.2,1016.2
sensor-004,1700000870,23.33,57.7,1011.8
sensor-005,1700000870,23.85,54.8,1012.7
sensor-006,1700000870,20.73,45.3,1009.1
sensor-007,1700000870,23.90,48.1,1016.2
sensor-000,1700000885,25.08,57.8,1010.6
sensor-001,1700000885,22.06,39.4,1010.7
sensor-002,1700000885,20.20,53.0,1009.5
sensor-003,1700000885,22.03,49.1,1009.7
sensor-004,1700000885,23.31,57.8,1009.8
sensor-005,1700000885,23.90,54.5,1013.2
sensor-006,1700000885,20.63,45.5,1009.2
sensor-007,1700000885,23.98,48.1,1015.7
sensor-000,1700000900,25.12,57.9,1011.3
sensor-001,1700000900,22.03,39.7,1016.1
sensor-002,1700000900,20.21,53.2,1011.8
sensor-003,1700000900,21.95,49.3,1016.1
sensor-004,1700000900,23.28,58.0,1016.8
sensor-005,1700000900,23.85,54.6,1009.4
sensor-006,1700000900,20.72,45.6,1011.2
sensor-007,1700000900,23.90,48.0,1014.4
sensor-000,1700000915,25.09,58.1,1012.1
sensor-001,1700000915,21.96,39.6,1014.9
sensor-002,1700000915,20.16,53.0,1012.1
sensor-003,1700000915,21.97,49.5,1015.5
sensor-004,1700000915,23.19,57.9,1014.4
sensor-005,1700000915,23.89,54.5,1012.3
sensor-006,1700000915,20.63,45.8,1012.8
sensor-007,1700000915,23.94,48.1,1010.7
sensor-000,1700000930,25.11,58.1,1015.0
sensor-001,1700000930,22.02,39.5,1015.2
sensor-002,1700000930,20.16,52.7,1011.0
sensor-003,1700000930,22.05,49.4,1014.9
sensor-004,1700000930,23.18,58.0,1016.3
sensor-005,1700000930,23.96,54.7,1011.5
sensor-006,1700000930,20.54,45.9,1011.8
sensor-007,1700000930,23.87,48.1,1013.7
sensor-000,1700000945,25.15,58.3,1014.8
sensor-001,1700000945,22.01,39.7,1016.0
sensor-002,1700000945,20.21,52.6,1011.9
sensor-003,1700000945,21.96,49.6,1010.0
sensor-004,1700000945,23.26,57.8,1010.3
sensor-005,1700000945,24.01,55.0,1013.6
sensor-006,1700000945,20.47,46.0,1009.6
sensor-007,1700000945,23.89,48.0,1014.7
sensor-000,1700000960,25.08,58.0,1009.4
sensor-001,1700000960,22.08,39.5,1010.8
sensor-002,1700000960,20.18,52.6,1012.8
sensor-003,1700000960,22.06,49.4,1009.5
sensor-004,1700000960,23.22,57.9,1009.7
sensor-005,1700000960,23.98,54.9,1014.7
sensor-006,1700000960,20.56,46.0,1014.5
sensor-007,1700000960,23.80,48.0,1011.7
sensor-000,1700000975,25.15,58.3,1016.2
sensor-001,1700000975,22.04,39.8,1015.1
sensor-002,1700000975,20.24,52.7,1012.9
sensor-003,1700000975,22.05,49.1,1009.2
sensor-004,1700000975,23.14,57.7,1010.0
sensor-005,1700000975,23.98,54.9,1016.1
sensor-006,1700000975,20.58,46.1,1012.5
sensor-007,1700000975,23.87,48.2,1012.4
sensor-000,1700000990,25.22,58.6,1013.0
sensor-001,1700000990,22.12,40.0,1016.1
sensor-002,1700000990,20.15,52.6,1014.0
sensor-003,1700000990,21.96,49.4,1009.7
sensor-004,1700000990,23.18,57.7,1010.4
sensor-005,1700000990,24.08,55.1,1015.1
sensor-006,1700000990,20.51,46.1,1015.4
sensor-007,1700000990,23.97,48.3,1016.6
sensor-000,1700001005,25.20,58.8,1014.1
sensor-001,1700001005,22.06,40.3,1009.0
sensor-002,1700001005,20.18,52.5,1009.8
sensor-003,1700001005,21.97,49.2,1014.8
sensor-004,1700001005,23.09,57.6,1015.9
sensor-005,1700001005,24.13,55.1,1009.9
sensor-006,1700001005,20.53,46.1,1015.9
sensor-007,1700001005,24.02,48.4,1015.9
sensor-000,1700001020,25.28,58.5,1009.4
sensor-001,1700001020,22.14,40.4,1010.5
sensor-002,1700001020,20.19,52.7,1010.1
sensor-003,1700001020,21.99,49.2,1010.0
sensor-004,1700001020,23.07,57.5,1012.5
sensor-005,1700001020,24.08,55.2,1013.0
sensor-006,1700001020,20.44,46.3,1010.6
sensor-007,1700001020,23.93,48.1,1013.0
sensor-000,1700001035,25.37,58.2,1012.0
sensor-001,1700001035,22.20,40.2,1016.2
sensor-002,1700001035,20.20,53.0,1015.7
sensor-003,1700001035,22.02,49.1,1014.9
sensor-004,1700001035,23.15,57.3,1009.3
sensor-005,1700001035,24.16,55.5,1011.0
sensor-006,1700001035,20.52,46.5,1013.1
sensor-007,1700001035,23.83,48.2,1009.3
sensor-000,1700001050,25.31,58.0,1012.2
sensor-001,1700001050,22.27,40.1,1011.8
sensor-002,1700001050,20.14,52.8,1011.3
sensor-003,1700001050,22.01,49.4,1013.8
sensor-004,1700001050,23.21,57.3,1011.3
sensor-005,1700001050,24.22,55.7,1016.0
sensor-006,1700001050,20.57,46.5,1010.0
sensor-007,1700001050,23.86,48.3,1013.9
sensor-000,1700001065,25.32,58.3,1012.6
sensor-001,1700001065,22.31,40.4,1010.5
sensor-002,1700001065,20.20,53.1,1013.6
sensor-003,1700001065,22.07,49.2,1016.4
sensor-004,1700001065,23.24,57.3,1013.2
sensor-005,1700001065,24.30,55.9,1015.5
sensor-006,1700001065,20.61,46.5,1016.1
sensor-007,1700001065,23.89,48.5,1015.6
sensor-000,1700001080,25.30,58.5,1011.3
sensor-001,1700001080,22.37,40.2,1010.5
sensor-002,1700001080,20.28,53.3,1011.5
sensor-003,1700001080,22.17,49.5,1011.2
sensor-004,1700001080,23.34,57.3,1015.5
sensor-005,1700001080,24.25,55.9,1015.7
sensor-006,1700001080,20.54,46.3,1010.9
sensor-007,1700001080,23.91,48.7,1014.8
sensor-000,1700001095,25.24,58.7,1009.4
sensor-001,1700001095,22.33,40.3,1014.0
sensor-002,1700001095,20.33,53.5,1011.0
sensor-003,1700001095,22.20,49.3,1009.5
